O,S,N,Date,TSC,ASC,SharePerPerson,EPS,NAPS,ROE,Rev,RevYoy,Profit,InvestProfit,TotalProfit,NetProfit,NetProfitYoy,UndisProfit,UndisProfitPerShare,MarginRate,TotalAssets,CurrentAssets,FixedAssets,IntangibleAssets,TotalLiabilities,CurrentLiabilities,LongtermLiabilities,LiabilityAssetRatio,Equity,EquityRatio,ReserveFunds,ReserveFundsPerShare,BSC,HSC,IPODate
order,Symbol,Name,Date,Total Share Capital,circulation shares capital,Share per person,earnings per share,net assets per share,Rate of Return on Common Stockholders’ Equity?,operating revenue,Revenue Year-on-year,Operating Profit,income from investments,TotalProfit,,,undistributed profit,,Profit margin on sales ratio,,circulating assets or current assets,,Intangible Assets,Total liabilities,Current Liabilities,long-term liability,liability - to asset ratio.,shareholders' equity ,Equity Ratio,common reserve funds ,,circulation shares capital,circulation sahres captical,IPO Date
序,代码,名称,更新日期,总股本,流通A股,人均持股数,每股收益,每股净资产,加权净资产收益率,营业收入,营业收入同比,营业利润,投资收益,利润总额,净利润,净利润同比,未分配利润,每股未分配利润,销售毛利率,总资产,,固定资产,无形资产,总负债,流动负债,长期负债,资产负债比率,股东权益,股东权益比,公积金,每股公积金,流通B股,H股,上市日期
1,600000,浦发银行,2014/06/30,187亿,149亿,3.03万,1.22,11.70,10.52,590亿,26.93,298亿,-6.24亿,298亿,227亿,16.87,539亿,2.89,0.00,3.93万亿,生词本,87.0亿,7.14亿,3.71万亿,0,0,94.37,2183亿,5.55,594亿,3.12,0,0,1999/11/10
2,600004,白云机场,2014/06/30,11.5亿,11.5亿,1.79万,0.46,6.80,6.56,26.8亿,8.90,7.02亿,120万,7.18亿,5.24亿,16.17,28.9亿,2.51,34.07,106亿,34.0亿,68.3亿,1991万,24.1亿,22.3亿,1.81亿,22.81,78.2亿,74.06,32.1亿,2.80,0,0,2003/04/28
3,600005,武钢股份,2014/06/30,101亿,101亿,2.53万,0.04,3.58,1.18,409亿,-7.78,6.07亿,4973万,6.41亿,4.28亿,-7.10,112亿,1.11,7.06,978亿,273亿,594亿,10.5亿,604亿,596亿,8.06亿,61.74,362亿,36.97,101亿,1.00,0,0,1999/08/03
4,600006,东风汽车,2014/06/30,20.0亿,20.0亿,1.21万,0.06,3.04,2.03,89.6亿,-11.08,1.83亿,2.34亿,1.91亿,1.22亿,182.73,27.3亿,1.36,12.14,199亿,136亿,32.2亿,5.94亿,120亿,104亿,16.2亿,60.33,60.7亿,30.48,6.38亿,0.33,0,0,1999/07/27
5,600007,中国国贸,2014/06/30,10.1亿,10.1亿,3.47万,0.28,4.93,5.73,10.8亿,6.19,3.75亿,581万,3.78亿,2.83亿,23.21,16.0亿,1.59,46.11,93.0亿,6.62亿,12.8亿,12.2亿,43.3亿,8.25亿,35.0亿,46.52,49.7亿,53.46,18.7亿,1.86,0,0,1999/03/12
6,600008,首创股份,2014/06/30,22.0亿,22.0亿,1.21万,0.06,2.68,2.16,18.1亿,26.62,2.09亿,4242万,2.17亿,1.30亿,1.00,12.6亿,0.57,38.03,266亿,117亿,44.8亿,63.1亿,172亿,86.7亿,85.7亿,64.72,58.9亿,22.11,16.4亿,0.75,0,0,2000/04/27
7,600009,上海机场,2014/06/30,19.3亿,10.9亿,1.20万,0.53,9.03,5.89,27.5亿,11.23,13.8亿,3.13亿,13.8亿,10.3亿,15.17,116亿,6.01,41.67,219亿,86.0亿,100亿,3.44亿,41.7亿,16.7亿,25.0亿,19.00,174亿,79.31,25.8亿,1.34,0,0,1998/02/18
8,600010,包钢股份,2014/06/30,80.0亿,78.7亿,1.99万,0.00,2.36,0.19,147亿,-23.65,9412万,2610万,8821万,3658万,-68.20,17.2亿,0.22,7.67,918亿,298亿,234亿,22.3亿,727亿,536亿,192亿,79.23,189亿,20.56,81.6亿,1.03,0,0,2001/03/09
9,600011,华能国际,2014/06/30,141亿,105亿,13.4万,0.48,4.52,10.26,646亿,0.85,111亿,7.82亿,114亿,67.0亿,13.70,260亿,1.85,24.77,2636亿,345亿,1588亿,104亿,1862亿,1007亿,855亿,70.62,636亿,24.11,166亿,1.18,0,35.6亿,2001/12/06
10,600012,皖通高速,2014/06/30,16.6亿,11.7亿,3.25万,0.26,4.30,6.07,11.6亿,3.48,5.85亿,7650万,5.86亿,4.38亿,-4.94,42.6亿,2.57,56.92,126亿,18.3亿,8.35亿,89.3亿,47.5亿,31.4亿,16.1亿,37.53,71.3亿,56.41,2.81亿,0.17,0,4.93亿,2003/01/07
11,600015,华夏银行,2014/06/30,89.0亿,64.9亿,4.84万,0.97,9.84,9.66,264亿,18.78,115亿,3.26亿,116亿,86.7亿,18.77,294亿,2.86,0.00,1.78万亿,0,86.3亿,8900万,1.69万亿,0,0,94.82,915亿,5.14,299亿,3.33,0,0,2003/09/12
12,600016,民生银行,2014/06/30,340亿,271亿,5.36万,0.75,6.53,12.11,651亿,11.73,343亿,18.8亿,344亿,256亿,11.44,805亿,2.36,0.00,3.57万亿,0,279亿,52.6亿,3.34万亿,0,0,93.58,2222亿,6.22,481亿,1.67,0,69.3亿,2000/12/19
13,600017,日照港,2014/06/30,30.8亿,26.3亿,2.13万,0.13,3.17,4.16,26.1亿,4.46,5.74亿,457万,5.76亿,4.01亿,-1.65,32.5亿,1.06,29.61,173亿,32.1亿,97.4亿,9.96亿,64.3亿,21.4亿,42.9亿,37.14,97.6亿,56.40,29.6亿,0.96,0,0,2006/10/17
