O,S,N,P,R,RP,V,NV,BP,SP,RR,ER,A,PE,I,H,L,O,LC,VIX,VR,OR,OD,AvgP,IV,OV,IOVR,B1V,S1V,PB,TS,TSC,MS,MSC,R3,R6,ER3,ER6
O(rdinal),S(ymbol),N(ame),P(rice),R(aise),R(aise)P(rice),V(olumn),N(ew)V,B(uy)P(rice),S(ell)P(rice),R(ise)R(ate),E(xchange)R(ate),A(mount),PE(Price-to-earnings Ratio),I(ndustry),H(igh),L(ow),O(pen),L(ast day)C(lose),VIX(Volatility Index),V(olumn)R(atio),O(rder)R(atio),O(rder)D(ifference),AvgP,I(n)V(olumn),O(ut)V(olumn),I(n)O(ut)R(ate),B1V,S1V,PB,T(otal)S(hare),T(otal)S(hare)C(apital),M(arketable)S(hare),M(arketable)S(hare)C(apital),R3,R6,E(xchange)R(ate)3,E(xchange)R(ate)6
序,代码,名称,最新,涨幅%,涨跌,总手,现手,买入价,卖出价,涨速%,换手%,金额,市盈率,所属行业,最高,最低,开盘,昨收,振幅%,量比,委比%,委差,均价,内盘,外盘,内外比,买一量,卖一量,市净率,总股本,总市值,流通股本,流通市值,3日涨幅%,6日涨幅%,3日换手%,6日换手%
1,603806,N福斯特,39.14,44.00,11.96,2474,10,39.14,----,0.00,0.00,967万,----, 塑胶制品,39.14,32.62,32.62,27.18,23.99,----,100.00,18.9万,39.09,2419,55,43.98,18.8万,0,----,0,0,0,0,44.00,0.00,0.41,0.41
2,601018,宁波港,2.82,10.16,0.26,329万,60,2.82,----,0.00,0.00,9.10亿,----, 港口水运,2.82,2.53,2.55,2.56,11.33,4.95,100.00,30.3万,2.76,177万,152万,1.17,27.1万,0,----,0,0,0,0,11.90,17.50,3.93,5.17
3,000828,东莞控股,5.78,10.10,0.53,36.6万,117,5.78,----,0.00,0.00,2.08亿,----, 高速公路,5.78,5.28,5.33,5.25,9.52,7.91,100.00,7.07万,5.69,23.4万,13.3万,1.76,6.13万,0,----,0,0,0,0,12.02,17.48,4.70,5.75
4,000677,恒天海龙,3.72,10.06,0.34,45.2万,1003,3.72,----,0.00,0.00,1.63亿,----, 化纤行业,3.72,3.43,3.43,3.38,8.58,3.04,100.00,14.6万,3.61,26.9万,18.3万,1.47,14.5万,0,----,0,0,0,0,13.76,19.23,10.25,13.84
5,002417,三元达,10.29,10.05,0.94,16.7万,241,10.29,----,0.00,0.00,1.67亿,----, 通讯行业,10.29,9.37,9.37,9.35,9.84,1.85,100.00,2.16万,9.95,9.52万,7.23万,1.32,2.15万,0,----,0,0,0,0,7.75,15.23,15.78,30.58
6,600751,天津海运,8.22,10.04,0.75,69.4万,300,8.22,----,0.00,0.00,5.54亿,----, 港口水运,8.22,7.70,7.80,7.47,6.96,2.03,100.00,29.0万,7.98,31.2万,38.2万,0.82,28.9万,0,----,0,0,0,0,21.06,28.44,57.12,80.57
7,600658,电子城,12.82,10.04,1.17,16.5万,130,12.82,----,0.00,0.00,2.10亿,----, 房地产,12.82,11.68,11.69,11.65,9.79,5.89,100.00,810,12.72,8.22万,8.32万,0.99,240,0,----,0,0,0,0,11.58,15.70,3.92,5.27
8,600584,长电科技,11.51,10.04,1.05,82.6万,3,11.51,----,0.00,0.00,9.41亿,----, 电子元件,11.51,11.04,11.28,10.46,4.49,3.52,100.00,1.59万,11.38,35.9万,46.8万,0.77,1.30万,0,----,0,0,0,0,10.04,0.00,9.69,9.69
