Ordi,S,N,P,R,RP,A,H,L,O,LC
Order,Symbol,Name,Price,Rise,RisePrice,Amount,High,Low,Open,Last Close
序,代码,名称,最新,涨幅%,涨跌,金额,最高,最低,开盘,昨收
1,1,上证指数,2326.43,0.85,19.57,1858亿,2327.56,2307.45,2311.3,2306.86
2,399001,深证成指,8214.53,0.46,37.96,2094亿,8237.42,8158.83,8202.66,8176.57
3,300,沪深300,2449.19,0.95,22.97,1233亿,2450.63,2427.99,2433.17,2426.22
4,399005,中小板指,5449.02,0.39,21.12,896亿,5456.51,5406.84,5440.69,5427.9
5,399006,创业板指,1489.83,-0.38,-5.68,389亿,1498.26,1482.04,1497.99,1495.51
6,10,上证180,5353.27,1.02,53.88,818亿,5357.13,5304.84,5315.11,5299.39
7,16,上证50,1656.24,1.16,18.95,360亿,1657.6,1641.11,1643.28,1637.29
8,9,上证380,3938.74,0.58,22.78,605亿,3939.1,3909.95,3920.77,3915.96
9,132,上证100,4444.3,0.57,25.28,144亿,4445.21,4407.22,4425.49,4419.02
10,133,上证150,4158.92,0.46,18.91,176亿,4162.99,4126.73,4139.4,4140.01
11,3,Ｂ股指数,259.8,0.48,1.25,2.73亿,259.89,258.46,258.74,258.55
12,12,国债指数,142.92,0.03,0.05,8840万,142.92,142.77,142.88,142.87
13,13,企债指数,175.64,0.03,0.05,13.1亿,175.64,175.61,175.62,175.59
14,11,基金指数,4156.67,0.75,30.8,244亿,4160.19,4130.76,4131.91,4125.87
15,399002,成份Ａ指,9523.31,0.46,44.01,761亿,9549.85,9458.73,9509.55,9479.3
16,399003,成份Ｂ指,6286,0.75,46.64,2.57亿,6286.2,6235.54,6239,6239.36
17,399106,深证综指,1273.68,0.4,5.12,2048亿,1273.71,1263.65,1270.74,1268.56
18,399004,深证100R,3343.09,0.53,17.71,424亿,3345.67,3318.04,3334.12,3325.38
19,399007,深证300,3189.03,0.48,15.32,882亿,3189.94,3164.44,3179.89,3173.71
20,399008,中小300,1103.85,0.42,4.63,574亿,1104.01,1093.76,1101.14,1099.22
21,399100,新 指 数,5607.97,0.45,25.02,2038亿,5608.05,5562.79,5592.78,5582.95
22,399550,央视50,3596.17,1.31,46.43,233亿,3600.32,3550.66,3558.97,3549.74
23,905,中证500,4666.47,0.4,18.58,915亿,4666.92,4629.18,4654.52,4647.89
24,903,中证100,2235.58,1.1,24.33,566亿,2237.03,2215.53,2218.51,2211.25
25,906,中证800,2833.62,0.79,22.27,2149亿,2834.61,2809.65,2818.25,2811.35
