O,S,N,P,R,I,WPct,Rnk,RnkChg,R1,WPct3,Rnk3,RnkChg3,R3,WPct5,Rnk5,RnkChg5,R5,WPct10,Rnk10,RnkChg10,R10
Order,Symbol,Name,Price,Rise,,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase,Warehouse(增加股票仓位）,Rank ,Rank Change,Riase
序,代码,名称,最新,涨幅%,所属行业,今日增仓占比,今日排名,今日排名变化,今日涨幅%,3日增仓占比,3日排名,3日排名变化,3日涨幅%,5日增仓占比,5日排名,5日排名变化,5日涨幅%,10日增仓占比,10日排名,10日排名变化,10日涨幅%
1,603806,N福斯特,39.14,44.00, 塑胶制品,95.49,1,+1247,44.00,95.49,1,+1288,44.00,95.49,1,+1322,44.00,95.49,1,+913,44.00
2,300201,海伦哲,7.34,10.04, 机械行业,75.43,2,+31,10.04,33.28,6,+2,10.04,33.28,6,+1,10.04,33.28,6,+1,10.04
3,002624,金磊股份,12.98,10.00, 材料行业,65.74,3,+1,10.00,60.63,2,-1,33.13,59.01,3,+1,46.50,59.01,3,+1,46.50
4,300242,明家科技,20.71,9.98, 输配电气,59.50,4,+1136,9.98,59.50,3,+1185,9.98,59.50,2,+1223,9.98,59.50,2,+826,9.98
5,002331,皖通科技,14.23,9.97, 电子信息,43.10,5,+1985,9.97,13.67,34,+1635,9.71,5.11,282,+1832,14.85,3.24,226,+866,12.94
6,300311,任子行,26.71,10.01, 电子信息,39.78,6,+2,10.01,39.49,5,0,33.15,39.77,5,0,33.15,39.77,5,0,33.15
7,000677,恒天海龙,3.72,10.06, 化纤行业,36.90,7,+33,10.06,24.66,10,+127,13.76,20.45,11,+124,17.72,13.08,13,+248,12.39
8,000509,华塑控股,6.49,10.00, 塑胶制品,36.33,8,+2029,10.00,18.15,15,+2284,11.51,11.01,41,+2074,15.89,3.91,172,+2095,12.28
9,600287,江苏舜天,7.69,10.01, 商业百货,35.83,9,-7,10.01,41.16,4,-2,10.01,41.16,4,-3,10.01,41.16,4,-2,10.01
10,000007,零七股份,12.66,9.99, 旅游酒店,32.54,10,+994,9.99,32.54,7,+1058,9.99,32.54,7,+1107,9.99,32.54,7,+721,9.99
