O,S,N,P,R,IN,AA,TDI,TDO,TDN,TDP,DI,DO,DN,DP,MI,MO,MN,MP,SI,SO,SN,SP
O,S,N,P,R,InNet,Aggregate Auction,TeDa,TeDa,TeDa,TeDa,Da,Da,Da,Da,Middle,Middle,Middle,Middle,Small,Small,Small,Small
序,代码,名称,最新,涨幅%,主力净流入,集合竞价,超大单流入,超大单流出,超大单净额,超大单净占比%,大单流入,大单流出,大单净额,大单净占比%,中单流入,中单流出,中单净额,中单净占比%,小单流入,小单流出,小单净额,小单净占比%
1,600406,国电南瑞,16.68,10.03,4.60亿,243,10.93亿,-5.17亿,5.76亿,24.65,6.21亿,-7.37亿,-1.16亿,-4.97,4.09亿,-6.93亿,-2.84亿,-12.15,2.12亿,-3.88亿,-1.76亿,-7.53
2,600018,上港集团,5.30,9.96,3.63亿,125,6.20亿,-2.47亿,3.73亿,25.09,3.58亿,-3.67亿,-945万,-0.64,2.97亿,-4.62亿,-1.65亿,-11.12,2.09亿,-4.07亿,-1.98亿,-13.33
3,000002,万  科Ａ,9.83,1.65,2.58亿,943,3.81亿,-1.03亿,2.78亿,30.72,2.65亿,-2.85亿,-2001万,-2.21,1.68亿,-2.79亿,-1.11亿,-12.26,8156万,-2.29亿,-1.47亿,-16.25
4,000009,中国宝安,13.46,4.26,1.80亿,1809,4.52亿,-2.01亿,2.50亿,15.93,4.85亿,-5.55亿,-7071万,-4.50,4.11亿,-5.07亿,-9580万,-6.09,2.06亿,-2.90亿,-8396万,-5.34
5,002190,成飞集成,62.81,2.60,1.76亿,3264,4.63亿,-2.54亿,2.09亿,10.30,6.66亿,-6.99亿,-3290万,-1.62,5.81亿,-6.86亿,-1.05亿,-5.19,2.80亿,-3.51亿,-7066万,-3.49
6,600255,鑫科材料,13.57,9.97,1.75亿,84,3.08亿,-1.12亿,1.96亿,23.58,2.11亿,-2.32亿,-2109万,-2.54,1.86亿,-2.84亿,-9843万,-11.86,1.24亿,-2.01亿,-7624万,-9.18
7,000509,华塑控股,6.49,10.00,1.72亿,89,1.97亿,-3056万,1.66亿,35.10,9911万,-9332万,579万,1.22,1.02亿,-1.83亿,-8102万,-17.11,7475万,-1.66亿,-9098万,-19.22
8,000630,铜陵有色,11.50,8.49,1.64亿,794,2.09亿,-7069万,1.38亿,17.80,2.27亿,-2.02亿,2579万,3.33,2.13亿,-2.73亿,-5965万,-7.70,1.18亿,-2.22亿,-1.04亿,-13.43
9,601018,宁波港,2.82,10.16,1.61亿,152,1.81亿,-7250万,1.09亿,11.93,2.85亿,-2.33亿,5200万,5.72,2.39亿,-3.14亿,-7470万,-8.21,2.03亿,-2.88亿,-8586万,-9.44
10,601989,中国重工,5.82,7.98,1.50亿,494,10.66亿,-8.60亿,2.06亿,7.73,7.43亿,-7.99亿,-5553万,-2.08,5.53亿,-6.04亿,-5099万,-1.91,2.99亿,-3.99亿,-9950万,-3.73
